activity,module_code,module_short_title,module_leader,assm_type,assm_component,assm_sem,sem_1_cred,sem_2_cred,assm_percent,start_date,time_released_to_students_9_30am,spot_date,submission_time_2pm_for_cw_9_30am_for_24hr_tests,end_date,reminder_sent,date_of_when_marks_feedback_were_released_to_students,late_y_n,if_late_why,assessment_title_for_ness_canvas,check_ness_assessment_matches_mof,set_up_coursework_exam_on_ness,submission_point_added_to_canvas,query,notes,faculty_marketing_document_added
ACE1057 Formative Assessment Formative assessment of MCQ at end of each workshop,ACE1057,Natural Science Research Impact,Dr MC Leach,Formative Assessment,PC Examination,2,0,10,0,2023-04-25,NA,2023-04-30,NA,2023-05-20,NA,NA,NA,NA,Faecal Egg Count,NA,NA,NA,NA,NA,NA
ACE2000 Other Assessment Group presentation of a strategic marketing or product,ACE2000,Marketing Digital Strategy,Dr SAB Kuznesof,Other Assessment,Prof Skill Assessmnt,2,10,10,50,2023-03-26,NA,2023-03-31,NA,2023-04-20,NA,NA,NA,NA,Management Planning Trip 1,NA,NA,NA,NA,NA,NA
ACE2000 Other Assessment individual report - 1800 words (max),ACE2000,Marketing Digital Strategy,Dr SAB Kuznesof,Other Assessment,Report,2,10,10,50,2023-06-02,NA,2023-06-07,NA,2023-06-27,NA,NA,NA,NA,Ecosystem management exercise,NA,NA,NA,NA,NA,NA
ACE2003 Other Assessment Landscape appreciation in UK - 2000 words,ACE2003,"Landscape, Culture and Heritage",Professor GD Garrod,Other Assessment,Essay,2,0,20,40,2023-04-28,NA,2023-05-03,NA,2023-05-23,NA,NA,NA,NA,Project proposal,NA,NA,NA,NA,NA,NA
ACE2003 Other Assessment Proposal brief for a Our Heritage application - max 1500,ACE2003,"Landscape, Culture and Heritage",Professor GD Garrod,Other Assessment,Written Exercise,2,0,20,60,2023-03-21,NA,2023-03-26,NA,2023-04-15,NA,NA,NA,NA,Portfolio,NA,NA,NA,NA,NA,NA
ACE2006 Other Assessment Assignment,ACE2006,Agricultural Economics and Policy,Dr FJ Areal,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Presentations,NA,NA,NA,NA,NA,NA
ACE2010 Other Assessment Short answer questions,ACE2010,Current Trends in Agricultural Markets,Mr SC Parker,Other Assessment,Computer Assessment,2,0,10,40,2023-05-02,NA,2023-05-07,NA,2023-05-27,NA,NA,NA,NA,Powerpoint presentation,NA,NA,NA,NA,NA,NA
ACE2010 Other Assessment Simulation Exercise,ACE2010,Current Trends in Agricultural Markets,Mr SC Parker,Other Assessment,Written Exercise,2,0,10,60,2023-05-07,NA,2023-05-12,NA,2023-06-01,NA,NA,NA,NA,Employability reflection,NA,NA,NA,NA,NA,NA
ACE2012 Other Assessment 1000 word report,ACE2012,Consumer and Business Economics,Dr FJ Areal,Other Assessment,Written Exercise,2,10,10,50,2023-05-23,NA,2023-05-28,NA,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2012 Other Assessment 1000 Word essay,ACE2012,Consumer and Business Economics,Dr FJ Areal,Other Assessment,Written Exercise,2,10,10,50,2023-05-28,NA,2023-06-02,NA,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2018 Other Assessment The assignment involves the analysis and interpretation of,ACE2018,Arable Crops,Dr PE Bilsborrow,Other Assessment,Prob Solv Exercises,2,0,10,20,2023-04-25,NA,2023-04-30,NA,2023-05-20,NA,NA,NA,NA,Essay,NA,NA,NA,NA,NA,NA
ACE2018 Other Assessment Online alternate assessment,ACE2018,Arable Crops,Dr PE Bilsborrow,Other Assessment,Written Exercise,2,0,10,80,2023-05-16,NA,2023-05-21,NA,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2020 Formative Assessment Students answer questions based on the module during a,ACE2020,Farm Business Management,Dr JR Franks,Formative Assessment,Prob Solv Exercises,2,0,10,0,2023-04-30,NA,2023-05-05,NA,2023-05-25,NA,NA,NA,NA,Policy Brief,NA,NA,NA,NA,NA,NA
ACE2020 Formative Assessment Valuation Exercise. Students value farm assets during a,ACE2020,Farm Business Management,Dr JR Franks,Formative Assessment,Written Exercise,2,0,10,0,2023-05-23,NA,2023-05-28,NA,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2020 Other Assessment Alternate written assessment,ACE2020,Farm Business Management,Dr JR Franks,Other Assessment,Written Exercise,2,0,10,100,2023-03-17,NA,2023-03-22,NA,2023-04-11,NA,NA,NA,NA,Research Proposal,NA,NA,NA,NA,NA,NA
ACE2024 Other Assessment The exercise involves analysis and interpretation of,ACE2024,Princ of Agronomy & Crop Improvement,Dr A Prashar,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2024 Other Assessment The exercise involves a short topic discussion or analysis,ACE2024,Princ of Agronomy & Crop Improvement,Dr A Prashar,Other Assessment,Written Exercise,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Practical Lab Report,NA,NA,NA,NA,NA,NA
ACE2028 Formative Assessment Formative data calculations for some lab and animal based,ACE2028,Animal Feed Science & Technology,Dr AS Chaudhry,Formative Assessment,Practical/Lab Report,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Farm exercise report,NA,NA,NA,NA,NA,NA
ACE2028 Other Assessment 1000 word essay,ACE2028,Animal Feed Science & Technology,Dr AS Chaudhry,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2031 Other Assessment Lab report and essay.  Approx 875 words.,ACE2031,Animal Parasitology,Dr M Booth,Other Assessment,Written Exercise,2,0,10,50,2023-05-07,NA,2023-05-12,NA,2023-06-01,NA,NA,NA,NA,Case study 2 - tender for rental - word,NA,NA,NA,NA,NA,NA
ACE2031 Other Assessment Alternative Assessment.  Approx. 875 words.,ACE2031,Animal Parasitology,Dr M Booth,Other Assessment,Written Exercise,2,0,10,50,2023-05-30,NA,2023-06-04,NA,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2035 Other Assessment group presentation (with peer evaluation).,ACE2035,Companion Animals,Dr MC Leach,Other Assessment,Prof Skill Assessmnt,1,0,10,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Group Presentation,NA,NA,NA,NA,NA,NA
"ACE2061 Other Assessment Organise, plan and deliver a story on an environmental",ACE2061,Management and Communication,Professor GD Garrod,Other Assessment,Design/Creative Proj,1,10,10,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2061 Other Assessment Ecosystem management exercise (up to 2000 words),ACE2061,Management and Communication,Professor GD Garrod,Other Assessment,Prof Skill Assessmnt,2,10,10,35,2023-04-22,NA,2023-04-27,NA,2023-05-17,NA,NA,NA,NA,Species specific reproduction research slides,NA,NA,NA,NA,NA,NA
ACE2061 Other Assessment Site management planning exercise (up to 2000 words),ACE2061,Management and Communication,Professor GD Garrod,Other Assessment,Prof Skill Assessmnt,2,10,10,35,2023-05-23,NA,2023-05-28,NA,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2063 Other Assessment it will consist of 8 x 5% valued week based on practical,ACE2063,Soil Management,Dr J Cooper,Other Assessment,Computer Assessment,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Species specific reproduction research slides,NA,NA,NA,NA,NA,NA
ACE2063 Other Assessment Video presentation on a practical solution to a soil,ACE2063,Soil Management,Dr J Cooper,Other Assessment,Oral Examination,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2067 Other Assessment Online Quiz,ACE2067,Agribusiness & Management Simulation,Mr KA Christensen,Other Assessment,Computer Assessment,1,10,10,30,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Presentation,NA,NA,NA,NA,NA,NA
ACE2067 Other Assessment Presentation to Board (15 mins) 1st ann rpt (min 500 wds),ACE2067,Agribusiness & Management Simulation,Mr KA Christensen,Other Assessment,Portfolio,1,10,10,70,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2068 Exam ReCap video assignment in Canvas on breed comparisons and,ACE2068,Reproduction and Genetic improvement,Dr AP Beard,Exam,Oral Presentation,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Presentation,NA,NA,NA,NA,NA,NA
ACE2068 Other Assessment The practical helps students understand the concepts &,ACE2068,Reproduction and Genetic improvement,Dr AP Beard,Other Assessment,Practical/Lab Report,1,10,0,50,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2069 Other Assessment analysis and presentation of data,ACE2069,Dissertation and Research Preparation,Mrs HF Adamson,Other Assessment,Report,2,0,10,50,2023-04-23,NA,2023-04-28,NA,2023-05-18,NA,NA,NA,NA,Written exercise,NA,NA,NA,NA,NA,NA
ACE2069 Other Assessment project proposal with short literature review,ACE2069,Dissertation and Research Preparation,Mrs HF Adamson,Other Assessment,Report,2,0,10,50,2023-04-30,NA,2023-05-05,NA,2023-05-25,NA,NA,NA,NA,Case study,NA,NA,NA,NA,NA,NA
"ACE2073 Other Assessment Group project, peer assessed.  Includes",ACE2073,New Food Product Development,Dr O Collins,Other Assessment,Design/Creative Proj,2,0,10,70,2023-05-28,NA,2023-06-02,NA,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2073 Other Assessment Individual personal reflection. 700 words.,ACE2073,New Food Product Development,Dr O Collins,Other Assessment,Reflective Log,2,0,10,30,2023-03-20,NA,2023-03-25,NA,2023-04-14,NA,NA,NA,NA,Presentations,NA,NA,NA,NA,NA,NA
ACE2074 Formative Assessment Weekly onlines quizzes for review of lecture and reading,ACE2074,Soils in Terrestrial Ecosystems,Professor YA Teh,Formative Assessment,Computer Assessment,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Technical report,NA,NA,NA,NA,NA,NA
ACE2074 Other Assessment Essay assessment-must critically analyse a paper from the,ACE2074,Soils in Terrestrial Ecosystems,Professor YA Teh,Other Assessment,Written Exercise,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2076 Exam Oral examination on animal production (individual),ACE2076,Animal Production,Dr HER Davis,Exam,Oral Examination,2,0,20,40,2023-04-09,NA,2023-04-14,NA,2023-05-04,NA,NA,NA,NA,Consultation exercise,NA,NA,NA,NA,NA,NA
ACE2076 Exam Team presentation on sustainability of livestock production,ACE2076,Animal Production,Dr HER Davis,Exam,Oral Presentation,2,0,20,10,2023-04-30,NA,2023-05-05,NA,2023-05-25,NA,NA,NA,NA,Presentation,NA,NA,NA,NA,NA,NA
ACE2076 Other Assessment End of module written coursework,ACE2076,Animal Production,Dr HER Davis,Other Assessment,Written Exercise,2,0,20,50,2023-04-02,NA,2023-04-07,NA,2023-04-27,NA,NA,NA,NA,Dissertation,NA,NA,NA,NA,NA,NA
ACE2076 Pass/Fail Animal production debate (groups),ACE2076,Animal Production,Dr HER Davis,Pass/Fail,Oral Presentation,#,0,20,0,2022-09-01,NA,2022-09-02,NA,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2077 Formative Assessment Self-reflection on team contribution (submit  WK8),ACE2077,Sustainable Solutions,Dr E Lopez-Capel,Formative Assessment,Written Examination,1,10,0,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Individual presentation,NA,NA,NA,NA,NA,NA
ACE2077 Other Assessment Self skills assessment / group report,ACE2077,Sustainable Solutions,Dr E Lopez-Capel,Other Assessment,Report,1,10,0,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Dissertation submission,NA,NA,NA,NA,NA,NA
ACE2077 Other Assessment Individual self reflection,ACE2077,Sustainable Solutions,Dr E Lopez-Capel,Other Assessment,Written Exercise,1,10,0,40,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACE2078 Other Assessment 1500 words,ACE2078,Qualitative Research Methods,Dr M Gkartzios,Other Assessment,Essay,1,10,0,100,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Assignment,NA,NA,NA,NA,NA,NA
ACE2080 Formative Assessment Written exercise,ACE2080,New Food Product Development,Dr O Collins,Formative Assessment,Written Exercise,1,10,10,0,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE2080 Other Assessment Group project, peer assessed. Includes presentation of new",ACE2080,New Food Product Development,Dr O Collins,Other Assessment,Design/Creative Proj,2,10,10,70,2023-03-28,NA,2023-04-02,NA,2023-04-22,NA,NA,NA,NA,Case study,NA,NA,NA,NA,NA,NA
ACE2080 Other Assessment Reflective Log,ACE2080,New Food Product Development,Dr O Collins,Other Assessment,Reflective Log,2,10,10,30,2023-04-29,NA,2023-05-04,NA,2023-05-24,NA,NA,NA,NA,Pitch presentation,NA,NA,NA,NA,NA,NA
ACE3000 Other Assessment Essay (max. 2000 words),ACE3000,Globalisation,Dr MC Hubbard,Other Assessment,Written Exercise,2,0,20,100,2023-05-05,NA,2023-05-10,NA,2023-05-30,NA,NA,NA,NA,Team consultancy report,NA,NA,NA,NA,NA,NA
ACE3012 Exam N/A,ACE3012,Advanced Agri-Business Management,Mr KA Christensen,Exam,Written Examination,2,10,10,30,2023-05-05,NA,2023-05-10,NA,2023-05-30,NA,NA,NA,NA,Individual report,NA,NA,NA,NA,NA,NA
ACE3012 Formative Assessment 1000 words,ACE3012,Advanced Agri-Business Management,Mr KA Christensen,Formative Assessment,Essay,2,10,10,0,2023-03-26,NA,2023-03-31,NA,2023-04-20,NA,NA,NA,NA,Updated CV,NA,NA,NA,NA,NA,NA
"ACE3012 Other Assessment Final Share Value, Group Presentation to Board (20 mins), 3",ACE3012,Advanced Agri-Business Management,Mr KA Christensen,Other Assessment,Portfolio,1,10,10,60,2022-08-31,NA,2022-09-01,NA,2022-09-29,NA,NA,NA,NA,Reflective Log,NA,NA,NA,NA,NA,NA
ACE3012 Other Assessment Individual oral presentation,ACE3012,Advanced Agri-Business Management,Mr KA Christensen,Other Assessment,Prof Skill Assessmnt,2,10,10,10,2023-03-24,NA,2023-03-29,NA,2023-04-18,NA,NA,NA,NA,Poster,NA,NA,NA,NA,NA,NA
ACE3016 Exam N/A,ACE3016,Countryside Management,Professor GD Garrod,Exam,Written Examination,2,10,10,70,2023-04-23,NA,2023-04-28,NA,2023-05-18,NA,NA,NA,NA,Dissertation,NA,NA,NA,NA,NA,NA
ACE3016 Other Assessment Group exercise: preparing and presenting a funding proposal,ACE3016,Countryside Management,Professor GD Garrod,Other Assessment,Written Exercise,2,10,10,30,2023-05-08,NA,2023-05-13,NA,2023-06-02,NA,NA,NA,NA,Dissertation,NA,NA,NA,NA,NA,NA
ACE3017 Other Assessment Presentation of a research proposal in a group of 2 or 3,ACE3017,"Rural Planning, Politics and Society",Dr PJ Cowie,Other Assessment,Research Proposal,2,0,20,50,2023-05-15,NA,2023-05-20,NA,2023-06-09,NA,NA,NA,NA,Reflective Log,NA,NA,NA,NA,NA,NA
ACE3017 Other Assessment Written alternate assessment,ACE3017,"Rural Planning, Politics and Society",Dr PJ Cowie,Other Assessment,Written Exercise,2,0,20,50,2023-05-15,NA,2023-05-20,NA,2023-06-09,NA,NA,NA,NA,Target Communication,NA,NA,NA,NA,NA,NA
ACE3023 Exam 3 from 7,ACE3023,Combinable Crops,Dr PE Bilsborrow,Exam,Written Examination,2,10,10,75,2023-04-18,NA,2023-04-23,NA,2023-05-13,NA,NA,NA,NA,Dissertation,NA,NA,NA,NA,NA,NA
ACE3023 Other Assessment Nafferton Field Exercise report (2000 words),ACE3023,Combinable Crops,Dr PE Bilsborrow,Other Assessment,Practical/Lab Report,2,10,10,20,2023-04-25,NA,2023-04-30,NA,2023-05-20,NA,NA,NA,NA,Monitoring report,NA,NA,NA,NA,NA,NA
